Project Name,Project Type,Cluster Name,City,County,State,Digester Type,Status,Year Operational,Year Shutdown,Reason for Closure,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Co-Digestion,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility,Awarded USDA Funding?
Antonio Brasil Dairy Digester,Farm Scale,,Dos Palos,Merced,CA,Complete Mix,Shut down,2013,2016,,Dairy,0,"5,420",0,0,,,,,,"Elite Energy [Project Developer, System Designer, System Design Engineer]",,
Bullfrog Dairy Digester,Farm Scale,,Imperial,Imperial,CA,Covered Lagoon,Shut down,2008,2014,Shut dairy,Dairy,0,"3,300",0,0,,,"2,233,800",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",IDD Energy,
Cal Poly Dairy Digester,Farm Scale,,San Luis Obispo,San Luis Obispo,CA,Covered Lagoon,Shut down,1998,2004,No operator,Dairy,0,175,0,0,,,"236,520",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
CAL-Denier Dairy Digester,Farm Scale,,Galt,Sacramento,CA,Covered Lagoon,Shut down,2008,2011,"According to Dec 2017 CDFA presentation (by Casey Walsh Cady), Denier Dairy project listed as ""temporarily offline.""
According to Martin Const (Aug 2019) shut down digester is operable but poor payback keeps it offline.",Dairy,0,900,0,0,,"33,000","552,802",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,Y
Eden-Vale Dairy Digester,Farm Scale,,Lemoore,Kings,CA,Horizontal Plug Flow,Shut down,2006,2007,"Economic. Operable, but poor buyback.",Dairy,0,"1,100",0,0,,"42,740","500,991",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pacific Gas and Electric Company,
IEUA - Reg Plant 5 Digester,Centralized/Regional,,Chino,San Bernardino,CA,Horizontal Plug Flow,Shut down,2001,2009,,Dairy,0,"3,225",0,0,Food Wastes,"108,077","4,931,880",Electricity,,Inland Empire Utilities Agency (IEUA) [Project Developer],,
Inland Empire Utilities Agency - Reg Plant 1 Digester,Centralized/Regional,,Ontario,San Bernardino,CA,Complete Mix,Shut down,2003,2008,,Dairy,0,0,0,0,,,"7,446,000",Electricity,,"Inland Empire Utilities Agency (IEUA) [Project Developer, System Designer]",,
Koetsier Dairy Digester,Farm Scale,,Tulare,Tulare,CA,Horizontal Plug Flow,Shut down,2005,2009,"Air-quality standards calling for expensive retrofits to reduce air pollution led to shutdown. 
Dairy closed.",Dairy,0,"2,000",0,0,,"44,193","615,755",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
Langerwerf Dairy Digester,Farm Scale,,Durham,Butte,CA,Horizontal Plug Flow,Shut down,1982,2009,Farm sold.,Dairy,0,750,0,0,,"30,000","300,000",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pacific Gas and Electric Company,
Lourenco Dairy Digester,Farm Scale,,Tulare,Tulare,CA,Covered Lagoon,Shut down,2006,2009,,Dairy,0,"2,640",0,0,,"55,000",,Flared Full-time,,"Sharp Energy [System Designer, System Design Engineer]",,
Meadowbrook Dairy Digester,Farm Scale,,El Mirage,San Bernardino,CA,Horizontal Plug Flow,Shut down,2004,2006,Shut dairy.,Dairy,0,"2,000",0,0,,"87,000","353,000",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
New Hope Dairy Digester: original system,Farm Scale,,Galt,Sacramento,CA,Complete Mix,Shut down,2013,2016,,Dairy,0,"1,700",0,0,Other Feedstocks,"90,000","1,830,000",Electricity,,"California Bioenergy LLC [Project Developer, System Designer]; MT-ENERGIE USA, Inc. [System Design Engineer]; RECM New Hope, LLC [Construction & Installation]",SMUD (Sacramento Utility District),
Pacific Rim Dairy Digester,Farm Scale,,Corcoran,Kings,CA,Covered Lagoon,Shut down,2014,2018,,Dairy,0,"8,000",0,0,,,,Electricity,Yes,"4Creeks [System Design Engineer]; Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]; Maas Energy Works [Project Developer]",Pacific Gas and Electric Company,
Royal Farms Digester,Farm Scale,,Tulare,Tulare,CA,Covered Lagoon,Shut down,1982,2008,,Swine,0,0,0,"7,500",,"94,500","744,600",Cogeneration,,,Southern California Edison,
St. Anthony Farm Digester,Farm Scale,,Petaluma,Sonoma,CA,Covered Lagoon,Shut down,2007,2009,"The program is being dismantled, but is not because of digester issues.",Dairy,0,240,0,0,Process Water,"12,000","350,400",Cogeneration; Refrigeration,,,,
Tollenaar Holsteins Dairy Digester,Farm Scale,,Elk Grove,Sacramento,CA,Covered Lagoon,Shut down,2008,2014,Dairy declared bankruptcy in 2015,Dairy,0,900,0,0,Process Water,113000,1599070,Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Sacramento Municipal Utility District (SMUD),Y
Van Ommering Dairy Digester,Farm Scale,,Lakeside,San Diego,CA,Horizontal Plug Flow,Shut down,2012,2016,,Dairy,0,550,0,0,"Fats, Oils, Greases",,,,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]; Quantitative BioSciences, Inc. [Construction & Installation]; SeaHold, LLC [Project Developer]",,
Van Ommering Dairy Digester: Original System,Farm Scale,,Lakeside,San Diego,CA,Horizontal Plug Flow,Shut down,2004,2009,"Economic hardship. According to 2015 CEC Microalgae facility report, digester failed due to corrosion of the internal heating pipes (http://www.energy.ca.gov/2015publications/CEC-500-2015-068/CEC-500-2015-068.pdf)",Dairy,0,624,0,0,,"33,935",489465,Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
Vintage Dairy Digester,Farm Scale,,Riverdale,Fresno,CA,Covered Lagoon,Shut down,2008,2010,,Dairy,0,"5,000",0,0,,300000,,Pipeline Gas,,"BioEnergy Solutions [Project Developer, System Designer]",Pacific Gas and Electric Company,
Heartland Biogas Digester,Centralized/Regional,,Eaton,Weld,CO,Complete Mix,Shut down,2015,2016,Permit suspended due to odor compaints.,Other Farm Type,0,0,0,0,Food Wastes,,,Pipeline Gas,,"AgEnergy USA [Project Developer]; Filanc Construction Company, Inc. [Construction & Installation]",Colorado Interstate Gas Company,
Cushman Dairy Digester,Farm Scale,,North Franklin,New London,CT,Complete Mix,Shut down,1997,,,Dairy,0,600,0,0,,"42,500","462,500",Electricity,,"Agri-Bio Systems, Inc. [System Designer, System Design Engineer]",,
"Wright Whitty Davis Farms, Inc. Digester",Farm Scale,,Baxley,Appling,GA,Mixed Plug Flow,Shut down,2006,,,Dairy,0,"1,135",0,0,,58000,"263,840",Electricity; Boiler/Furnace fuel,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",,Y
Futura Dairy-Waubeek Dairy Cow Farm Digester,Farm Scale,,Central City,Linn,IA,Horizontal Plug Flow,Shut down,2002,2007,The dairy operations ceased.,Dairy,0,380,0,0,,,"394,200",Electricity,,,,
"Linkenmeyer Family Feeders / Link Energy, LLC Digester",Farm Scale,,Riceville,Howard,IA,Mixed Plug Flow,Shut down,2012,2016,"System bought by Big Ox Energy, feedstock switched to industrial waste.",Cattle; Swine,"5,000",0,0,"4,000",Other Feedstocks,,5000000,Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",,Y
McCabe Farms Digester,Farm Scale,,Mt. Pleasant,Henry,IA,Unknown or Unspecified,Shut down,1972,,,Swine,0,0,0,"1,150",,,,Flared Full-time,,"Harold McCabe [System Designer, System Design Engineer]",,
"Swine USA, Bell Farms Digester",Farm Scale,,Thayer,Union,IA,Complete Mix,Shut down,2001,2004,The current owners do not have the technical knowledge to run the digester.,Swine,0,0,0,"5,000",,,473040,Electricity,,,,
Thaler Farm Digester,Farm Scale,,,,IA,Complete Mix,Shut down,1999,,Owner left business.,Swine,0,0,0,"5,000",,,,Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
Westpoint Dairy Digester,Farm Scale,,Wendell,Gooding,ID,Induced Blanket Reactor,Shut down,2008,2009,Intrepid bankrupt.,Dairy,0,0,0,0,,,,Pipeline Gas,,"Intrepid Technology and Resources Inc. [System Designer, System Design Engineer]",,
Whitesides Dairy Digester,Farm Scale,,Rupert,Minidoka,ID,Induced Blanket Reactor,Shut down,2004,2009,Intrepid bankrupt.,Dairy,0,"2,900",0,0,,55700,,Pipeline Gas,,"Intrepid Technology and Resources Inc. [System Designer, System Design Engineer]",Intermountain Gas,
Hillcrest Dairy (Formerly New Horizons) Digester,Farm Scale,,Elmwood,Peoria,IL,Horizontal Plug Flow,Shut down,2002,2013,"New ownership, financial issues.",Dairy,0,"1,400",0,0,"Fats, Oils, Greases; Food Wastes",,"1,524,240",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",AmerenCILCO,
Scheidairy Farms Digester,Farm Scale,,Freeport,Stephenson,IL,Mixed Plug Flow,Shut down,2005,2011,,Dairy,0,650,0,0,,,"893,520",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Commonwealth Edison,
Prairie's Edge Dairy Site 1 Digester,Farm Scale,,Fair Oaks,Jasper,IN,Vertical Plug Flow,Shut down,2004,,Poor performance; difficult to maintain.,Dairy,0,"3,000",0,0,,200000,5212200,Electricity,,Environmental Energy & Engineering Company [Project Developer]; Environmental Energy Corporation [System Designer],,
WKU Farm - Pilot Digester,Research,,Bowling Green,Warren,KY,Plug Flow - Unspecified,Shut down,2009,2011,Assistant farm manager left and not enough help to keep system running,Dairy,0,30,0,0,,,,Flared Full-time,,"Organic Alchemy [System Designer, System Design Engineer]",,
Kilby's Inc. Digester,Farm Scale,,Colora,Cecil,MD,Covered Lagoon,Shut down,2010,2016,Engine down and system in need of upgrades.,Dairy,0,656,0,0,Process Water,"19,334","430,000",Electricity,,,,Y
"Fairgrove Farms, Inc. Digester",Farm Scale,,Sturgis,St. Joseph,MI,Horizontal Plug Flow,Shut down,1981,2002,The dairy operations ceased.,Dairy,0,720,0,0,,"53,500","620,000",Electricity,,,,
Fremont Community Digester,Centralized/Regional,,Fremont,Newaygo,MI,Complete Mix,Shut down,2012,2015,Management.,Swine,0,0,0,0,Agricultural Residues,1000000,22338000,Electricity,,"Novi Energy [Project Developer, System Designer, System Design Engineer]",Consumers Energy Company,
Lowell Energy AD Facility Digester,Centralized/Regional,,Lowell,Kent,MI,Complete Mix,Shut down,2015,2017,Odor control issues could not be resolved.,Dairy,0,"1,770",0,0,"Fats, Oils, Greases; Food Processing Wastes",,,Electricity,,Rockford Construction [Construction & Installation]; Sustainable Partners LLC of Grand Rapids [Project Developer],Lowell Light & Power,
Diamond K Dairy/Ponderosa Dairies Digester,Multiple Farm/Facility,,Altura,Winona,MN,Complete Mix,Shut down,2013,2018,Operational problems in 2018. Sold cows due to debt in 2017 and have been trying to keep the digester operational with other feedstock. 5-year energy agreement with Xcel up at end of 2018.,Dairy,0,"1,070",0,0,Process Water,146430,"59,831",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Xcel Energy,Y
District 45 Dairy Digester - Electricity,Farm Scale,,Hancock,Stevens,MN,Mixed Plug Flow,Shut down,2010,2016,Too costly to operate,Dairy,0,"5,520",0,0,Process Water,,"12,088,800",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Otter Tail Power,
Jer-Lindy Farms Digester,Farm Scale,,Brooten,Stearns,MN,Induced Blanket Reactor,Shut down,2008,2014,Operational problems were reported with manure flow and hydrogen sulfide corrosion issues.,Dairy,0,270,0,0,Dairy Processing Wastes; Process Water,,"156,950",Electricity,,"Andigen [System Design Engineer]; Genex Farm Systems [System Designer, System Design Engineer]",,Y
Riverview Dairy Digester - Electricity,Farm Scale,,Morris,Stevens,MN,Mixed Plug Flow,Shut down,2008,2016,Too costly to operate,Dairy,0,"7,665",0,0,,,"15,859,980",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",,Y
West River Dairy Digester - Electricity,Farm Scale,,Morris,Stevens,MN,Mixed Plug Flow,Shut down,2008,2017,Too costly to operate,Dairy,0,"6,300",0,0,,,15859980,Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",,Y
Premium Standard - Valley View Farm (Crystal Peak) Digester,Farm Scale,,Green City,Sullivan,MO,Covered Lagoon,Shut down,2005,2008,"Fertilizer plant shut down, presumably due to challenges related to getting solids out of digesters.",Swine,0,0,0,"107,000",,,,Boiler/Furnace fuel,,"Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",,
Piney Woods School Digester,Farm Scale,,Piney Woods,Rankin,MS,Covered Lagoon,Shut down,1998,2006,,Swine,0,0,0,145,,,"35,040",Electricity,,"ICF International (ICF) [Project Developer]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",,
Shafer Farm Digester,Farm Scale,,Osyka,Pike,MS,Complete Mix,Shut down,2009,2010,Undergoing management changes; unsure whether or not digester will be re-started.,Poultry,0,0,"120,000",0,,,"1,489,200",Electricity,,"Eagle Green Energy, Inc. [Project Developer, System Designer, System Design Engineer]",,Y
Darrell Smith Farm Digester,Farm Scale,,Princeton,Johnston,NC,Complete Mix,Shut down,1983,2008,,Poultry,0,0,"70,000",0,,42000,"520,000",Electricity,,"A.O. Smith Harvestore [System Designer]; Bio-Gas of Colorado [System Designer, System Design Engineer]",,
Harris Farm Digester,Farm Scale,,Greenville,Pitt,NC,Fixed Film/Attached Media,Shut down,2003,,The project shutdown due to improper manure management system operation.,Swine,0,0,0,"12,000",,,"989,880",Electricity,,"AgriClean [System Designer, System Design Engineer]",,Y
Murphy Brown LLC - Vestal Farm Digester,Farm Scale,,Kenansville,Duplin,NC,Covered Lagoon,Shut down,2012,2016,Mechanical Issues. Lagoon cover broken. Original system replaced. Now part of Optima KV project.,Swine,0,0,0,"9,792",,41879,744600,Electricity,,,,
White Oak Farms Digester,Farm Scale,,Fremont,Wayne,NC,Covered Lagoon,Shut down,2019,2022,,Swine,0,0,0,0,Food Wastes; Slaughterhouses,,,,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]",Duke Energy,
Genesis Ethanol Closed-Loop Plant / E3 BioFuels Digester,Farm Scale,,Mead,Saunders,NE,Complete Mix,Shut down,2007,2007,"There was an oiler explosion and other mechanical problems, on top of bankruptcy.",Cattle,"28,000",0,0,0,Beverage and Distillery Wastes,,,Boiler/Furnace fuel,,"E3 Biofuels [Project Developer, System Designer]",,
OLean Energy Digester,Farm Scale,,Dodge,Colfax,NE,Complete Mix,Shut down,2005,2018,Unable to sustain sufficient biogas output,Swine,0,0,0,"7,500",,35000,730000,Cogeneration; CNG,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Nebraska Public Power District (NPPD),Y
NMSU / Gonzalez Dairy Digester,Farm Scale,,La Mesa,Do±a Ana,NM,Anaerobic Sequencing Batch Reactor,Shut down,2008,2009,,Dairy,0,0,0,0,,,,Electricity,,NMSU [System Designer],,
Cooperstown Holstein Digester,Farm Scale,,Cooperstown,Otsego,NY,Complete Mix,Shut down,1985,,,Dairy,0,270,0,0,,25000,325000,Cogeneration,,A.O. Smith Harvestore [System Designer],,
Crescent Duck Farm Digester,Farm Scale,,Aquebogue,Suffolk,NY,Complete Mix,Shut down,2006,2018,,Poultry,0,0,"130,000",0,Slaughterhouses,,,Electricity,,"Applied Technologies, Inc. [System Designer, System Design Engineer]",,
EL-VI Farms Digester,Farm Scale,,Newark,Wayne,NY,Horizontal Plug Flow,Shut down,2004,2011,Cost to own and operate system exceeded revenue/benefits.,Dairy,0,"1,500",0,0,,,,Boiler/Furnace fuel,,"Stanley A. Weeks, LLC [System Designer, System Design Engineer]; Ted Peck [System Designer, System Design Engineer]",,
Emerling Farms Digester,Farm Scale,,Perry,Wyoming,NY,Horizontal Plug Flow,Shut down,2006,2014,Cost to own and operate system exceeded revenue/benefits.,Dairy,0,"1,200",0,0,,110400,1305240,Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",New York State Electric and Gas (NYSEG),Y
Farber Farm/NYC Watershed Ag Council (WAC) Digester,Farm Scale,,East Jewett,Greene,NY,Fixed Film/Attached Media,Shut down,2001,2003,Cows were sold so there is no manure to feed the digester.,Dairy,0,100,0,0,,,,Boiler/Furnace fuel,,"Stanley A. Weeks, LLC [System Designer, System Design Engineer]",,
New Hope View Farm Digester,Farm Scale,,Homer,Cortland,NY,Complete Mix,Shut down,2016,2019,Cost to own and operate system exceeded revenue/benefits.,Dairy,0,"1,100",0,0,Process Water,,,Cogeneration; Boiler/Furnace fuel,,PlanET Biogas USA Inc. [System Designer],New York State Electric and Gas (NYSEG),
New Hope View Farm Digester: original system,Farm Scale,,Homer,Cortland,NY,Horizontal Plug Flow,Shut down,2001,2009,,Dairy,0,850,0,0,,,"521,220",Cogeneration; Boiler/Furnace fuel,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
Noblehurst Farms Digester: original system,Farm Scale,,LINWOOD,Livingston,NY,Horizontal Plug Flow,Shut down,2003,2011,A fire destroyed the genset and structure holding all the equipment.,Dairy,0,"3,700",0,0,,"111,000","788,400",Cogeneration,,"ClimeCo Corporation [Project Developer, System Designer]; Cow Power, Inc. [System Designer]",,
Patterson Farms Digester,Farm Scale,,Auburn,Cayuga,NY,Complete Mix,Shut down,2005,2022,,Dairy,0,"1,900",0,0,Dairy Processing Wastes; Food Processing Wastes,"173,300","3,092,280",Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,Y
Spring Valley Dairy Digester,Farm Scale,,Schodack,Rensselaer,NY,Covered Lagoon,Shut down,,,,Dairy,0,236,0,0,,"6,000","219,000",Electricity,,"Dubara Company, Inc. [System Designer, System Design Engineer]",,
